Text	Top5%	Emoji_1	Emoji_2	Emoji_3	Emoji_4	Emoji_5	Pct_1	Pct_2	Pct_3	Pct_4	Pct_5
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now?  I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.	0.615894153714	34	46	27	3	35	0.345889	0.0998899	0.0631063	0.0611824	0.0458262
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL	0.435249235481	33	63	31	44	13	0.135953	0.0953564	0.0944353	0.0596103	0.0498941
@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke	0.369580615312	50	33	54	32	58	0.10342	0.0811099	0.0791376	0.0551157	0.0507971
@USER Blow hard	0.34753696993	57	31	44	13	58	0.110936	0.0672407	0.0659066	0.0543097	0.0491435
@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game	0.483548957855	50	33	54	53	62	0.190827	0.105571	0.0837171	0.0594804	0.0439536
"\""@USER @USER Please explain what controlled opposition\""\"" means.  As for Bernier escaping, he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be.\""\""\"""	0.302177827805	16	24	38	47	54	0.115967	0.0809204	0.0399372	0.0334868	0.0318666
@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.	0.55613123253	33	40	50	53	58	0.255643	0.202296	0.0461236	0.0267624	0.0253066
3. Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT.	0.279236890376	46	20	22	25	5	0.067294	0.0667864	0.056643	0.0451625	0.043351
.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh	0.354113839567	32	55	34	21	33	0.139381	0.0964124	0.0420253	0.0399286	0.0363666
"\""@USER @USER Ppl who say I'm not racist\""\"" are racist. You Are A Racist. Repeat after me\""\""\"""	0.36483091861	38	16	58	32	37	0.1315	0.09	0.0503013	0.0478029	0.0452266
@USER Kathy the Patriot🗽  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp; #THEUSA     😀 🗽🗽🗽 😀	0.341640755534	58	33	57	32	61	0.106947	0.096282	0.0494829	0.0455839	0.0433451
@USER Wow you liberals really don’t have a sense of humor.🙄	0.276701703668	19	38	54	50	1	0.062431	0.0603483	0.0556981	0.0511035	0.0471208
@USER I'M SO FUCKING READY	0.292872909456	44	17	4	3	40	0.0999911	0.0612097	0.0522287	0.0417738	0.0376696
@USER Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic	0.343225147575	12	62	28	50	54	0.151164	0.0596301	0.0464888	0.0458982	0.0400443
@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc	0.246414940804	22	53	54	50	27	0.0662198	0.0474485	0.0446791	0.0440479	0.0440196
@USER @USER @USER What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen.	0.458328276873	32	55	33	22	50	0.200523	0.141189	0.0409927	0.03951	0.0361136
@USER Me too! Her wedding was the best! She is very pretty!	0.364127960056	7	4	16	53	8	0.0878664	0.0835275	0.0716458	0.0624833	0.0586049
@USER @USER No conflict here—don’t look at this.  #Soros involved in violent left agenda of Antifa also.	0.326878409833	33	32	50	55	62	0.0841848	0.0705902	0.0602939	0.0570832	0.0547263
@USER @USER @USER URL any of your announcements every come to fruition or is it basically stealing Labour's ideas to get a few more votes	0.355650529265	33	50	41	54	32	0.0925199	0.0842164	0.0660847	0.0589039	0.0539256
4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???	0.353670541197	32	55	12	22	41	0.104421	0.0723359	0.0630946	0.0597853	0.0540342
#GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC 2A URL	0.417867310345	32	55	39	37	34	0.153949	0.120586	0.0606957	0.0436732	0.0389635
@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?	0.45902274549	61	53	7	21	60	0.14486	0.0816354	0.0811421	0.0781223	0.0732633
@USER Fuck off	0.338154233992	38	58	32	55	0	0.0953244	0.0868757	0.0576913	0.0503235	0.0479393
@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I’d like to know if the black population that suffers the most shares her opinion	0.502040237188	50	54	33	53	62	0.158125	0.118813	0.100962	0.0780577	0.046082
"\""@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing\""\""\""\""\"""	0.430974703282	32	55	42	37	34	0.166214	0.104494	0.0564712	0.053437	0.0503584
@USER @USER She is useless.  Attempts to do the right thing but never follows through.	0.345200046897	32	55	22	27	34	0.0831155	0.0769625	0.0701609	0.0664189	0.0485422
#WalkAway liberals......Your party is POISON. URL	0.322800301015	11	44	51	48	42	0.0909881	0.0771154	0.0537094	0.053203	0.0477844
@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.	0.337437018752	34	32	27	55	5	0.0972547	0.0777823	0.0611313	0.055792	0.0454769
@USER You are lying. Stick with the facts. We pay more than that now.	0.260996792465	19	50	25	38	1	0.0571981	0.0568115	0.0531741	0.0491476	0.0446656
@USER Trump kicks dem butt - its so fun.	0.293065704405	33	54	53	50	0	0.0867194	0.0651664	0.0580734	0.042146	0.0409605
@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.	0.319071289152	33	50	54	0	53	0.0846471	0.0798894	0.0702128	0.0426404	0.0416816
#Toxictory minister @USER attempted to expense £50 charity donation! It's what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL	0.385536339134	33	40	53	54	50	0.140321	0.117363	0.0452646	0.0432379	0.0393493
@USER ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #Manmarziyaan 🤠👍	0.23778675124	60	50	33	54	8	0.0560306	0.0559679	0.0493534	0.0431725	0.0332624
@USER And this from the clown that should be in prison?	0.329450491816	12	41	0	51	50	0.0825087	0.0709689	0.0707391	0.0584692	0.0467646
@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions  @USER @USER @USER @USER URL	0.297490559518	50	54	33	32	41	0.0683149	0.0651152	0.0642201	0.051965	0.0478753
@USER Thats because you are an old man.	0.322508387268	50	54	38	0	9	0.127532	0.0701072	0.0431667	0.0420394	0.0396632
@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!	0.340510915965	54	32	50	55	33	0.102226	0.0632863	0.0626918	0.0626361	0.0496703
"\""@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie\""\""..right now U know SQUAT about either..\""\""\"""	0.233727693558	33	54	16	50	53	0.061539	0.0488125	0.0437598	0.0419394	0.037677
"\""@USER I do remember. :( But somehow centrist\""\"" antifa-haters can never quite seem to bring themselves to condemn such things.\""\""\"""	0.685509741306	24	47	16	46	8	0.423614	0.125463	0.0826634	0.0278054	0.0259635
@USER I mean it worked for gun control right? URL	0.404825031757	42	50	9	54	0	0.173928	0.0842549	0.0584402	0.0447043	0.0434976
@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.	0.339490246028	55	32	22	50	25	0.0970255	0.0849718	0.0641524	0.051343	0.0419976
@USER Principled conservatives are #Hypocrickets	0.174926690757	54	39	50	33	0	0.0412347	0.0355678	0.0339674	0.0324155	0.0317414
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't forget @USER &amp; Democrat backed #Antifa	0.447134513408	33	50	54	58	53	0.16009	0.103077	0.069469	0.0631131	0.0513855
@USER She is a beautiful person to teach values to her kids. Teaching them they are royalty but keep to keep it from going to their heads. Stay real ❤️	0.359138093889	13	8	21	60	33	0.0997184	0.0701456	0.067006	0.0669659	0.0553021
@USER Bring out his Antifa criminal son to campaign for him	0.308757033199	33	44	50	58	54	0.077515	0.0671235	0.05999	0.0590857	0.0450428
@USER @USER I didn’t watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a Saturday.	0.316614717245	34	8	60	59	47	0.114076	0.0626623	0.0480482	0.0461053	0.0457225
A tear is made of 1% water and 99% feelings.	0.56303858012	34	35	46	45	3	0.304763	0.102028	0.0927902	0.0386616	0.0247952
"\""@USER @USER Trump addresses gun control representing the NRA.  I will not let you down\""\"" he says. URL\"""	0.561087980866	16	24	47	11	42	0.195576	0.181105	0.106019	0.042284	0.0361039
@USER She is drinking so much koolaid she’s bloated.	0.483445107937	39	52	12	0	25	0.265353	0.0902674	0.0538787	0.0393781	0.0345677
@USER Holder needs to be prosecuted	0.205435480922	50	26	54	9	33	0.0631361	0.0392158	0.0387631	0.032599	0.0317215
@USER But... But... BOTH PLAYERS WERE WOMEN. And BOTH WERE WOMEN OF COLOR!	0.361787311733	22	34	5	27	12	0.100843	0.0925766	0.0671653	0.054297	0.0469054
@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!	0.375023625791	54	50	53	0	32	0.115038	0.0830513	0.0729214	0.0544422	0.0495703
*babysitting 3 kids*  people:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*	0.4926783517	25	19	1	20	12	0.162339	0.161536	0.0683797	0.0511623	0.0492618
@USER well...? URL	0.2255711779	12	50	25	41	22	0.0521214	0.0485476	0.043177	0.0409977	0.0407274
WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL	0.299263961613	58	40	57	33	54	0.0729595	0.0688041	0.0583685	0.0569673	0.0421646
"\""@USER It's easily digestible content.   There's no need for nuance or to even understand the story.  They can show a picture of an ANTIFA\""\"" and get the base level emotional response their content requires in order to be profitable.\""\""\"""	0.717657146975	24	16	47	8	53	0.380385	0.149467	0.148821	0.0245796	0.0144048
@USER @USER Try looking for plain old democrats.  The liberals are the ones which you can’t have a conversation with.	0.379565712065	50	54	33	53	22	0.110293	0.0829263	0.0776299	0.0590247	0.0496924
@USER Great news! Old moonbeam Just went into a coma! 😂	0.416840694845	33	14	40	53	50	0.160579	0.0772432	0.0665585	0.0606046	0.0518554
@USER OMG HE IS SO EXTRA ILY	0.474034942687	60	18	8	4	3	0.144239	0.118601	0.0774629	0.0754452	0.0582877
@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!	0.317263484001	54	50	32	55	62	0.0914887	0.0756449	0.057999	0.0478974	0.0442336
@USER @USER Unfortunately in America a system like that would be called racist. Liberals believe exams are racist against minority groups.	0.467460989952	32	55	22	27	33	0.176755	0.115088	0.0793911	0.0563892	0.0398382
@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!	0.266992222518	53	50	12	54	22	0.0699907	0.0627927	0.0514543	0.0452761	0.0374785
@USER @USER Guy you are always present...bet why? Lol	0.394250106066	50	9	54	12	0	0.138581	0.0760308	0.0726275	0.0636149	0.0433963
@USER @USER what a baby! URL	0.198306120932	4	53	33	40	50	0.0457292	0.0410752	0.0386351	0.0371891	0.0356775
@USER you are very persuasive fam	0.238832253963	50	58	33	31	8	0.063199	0.0482582	0.0469163	0.0425982	0.0378607
@USER THAT'S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY.....WE WILL VOTE NO TO LIBERALS IN NOVEMBER.... URL	0.357117816806	50	33	54	22	62	0.108726	0.0903492	0.0614632	0.0566917	0.0398881
@USER Burt. A cool dude.	0.561333131045	31	33	30	6	50	0.287066	0.138422	0.0538095	0.046466	0.0355696
#MAGA! IF YOU ARE ALL IN FOR #TRUMP FOLLOW ME AND I WILL FOLLOW BACK.	0.324196152389	33	50	30	31	54	0.115581	0.0571192	0.0546474	0.0489949	0.0478541
@USER thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy	0.371661331505	53	7	16	60	10	0.105161	0.0834331	0.0716159	0.0632992	0.0481519
@USER Kind of like what trump does all the time huh?	0.341275770217	50	22	41	20	0	0.0804152	0.0791391	0.06444	0.0594135	0.0578679
@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.	0.409966532141	32	55	19	25	37	0.150528	0.114401	0.0559946	0.0498787	0.0391644
@USER Fuck em	0.326260104775	58	31	13	26	30	0.0803941	0.0774669	0.0601464	0.0543986	0.0538541
@USER Good move....he is the big loser	0.34234071523	54	33	50	40	58	0.0946193	0.0660101	0.0637217	0.0619264	0.0560632
@USER Let's get to the bottom of this! DM me your zipcode and I'll check it out.  We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP! *NevinBruce	0.401993192732	58	33	57	7	50	0.129936	0.110014	0.0600189	0.0540532	0.0479708
@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice. He won’t be at the next election.	0.319869488478	50	33	22	34	27	0.104903	0.0617393	0.0513001	0.0512895	0.050638
@USER The president’s feelings are totally opposite of CNN’s feelings. So what does that say about CNN? They’re all liberals.	0.295439571142	22	55	50	54	25	0.0771247	0.0591084	0.05372	0.0530635	0.052423
"\""@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin.\""\"" noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash\""\""\"""	0.604202141985	24	58	47	16	38	0.261975	0.186721	0.0753602	0.056351	0.0237951
@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.	0.376042895019	32	55	19	22	25	0.127562	0.0946324	0.0618392	0.0475391	0.04447
@USER she is idk what's going on	0.372989863157	12	22	41	0	25	0.110154	0.0805348	0.0650122	0.058845	0.0584442
@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL	0.264701172709	25	22	19	0	32	0.0669831	0.0601839	0.0522946	0.0452309	0.0400087
@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!	0.335736792535	57	33	58	54	40	0.106893	0.0693789	0.0596505	0.0500238	0.0497903
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That's why Trump supporters can't even wear a hat without being abused. If they meet the animals on the left attack them. Antifa is a branch of the Communist-Socialist-Nazis Democrat Party.	0.435249235481	33	63	31	44	13	0.135953	0.0953564	0.0944353	0.0596103	0.0498941
@USER The laughs I’ve gotten from you are enough. 😌	0.241173751652	0	50	38	26	53	0.0657903	0.0491671	0.0459481	0.0405844	0.0396839
@USER @USER @USER well?	0.367380935699	41	12	9	26	0	0.111626	0.0800303	0.0670925	0.0554321	0.0532004
@USER @USER @USER First of all— they don’t even have pizza at Panera	0.229958344251	46	34	19	32	25	0.0512451	0.0495554	0.0475698	0.0418538	0.0397343
@USER @USER @USER please don't kill me. antifa on the other hand...	0.230464018881	12	34	52	28	62	0.0546655	0.0472428	0.0456997	0.0418997	0.0409564
@USER Did you see Shanahan say Spoon was not 100% healthy this game? Obviously no excuses if you’re out there BUT maybe it’s not the “all is doom” sort of thing it seemed during the game. Maybe he is still pretty good.	0.293837428093	22	50	54	62	41	0.0761998	0.0718133	0.0534271	0.0497359	0.0426612
@USER Good girl @USER	0.406454451382	33	40	23	50	26	0.11429	0.0933808	0.0799479	0.0762026	0.0426335
@USER @USER She is an ugly black hearted troll URL	0.263387188315	39	46	51	0	32	0.0803612	0.0501511	0.0477115	0.0451462	0.0400172
@USER @USER @USER You are clearly not a pokemon master! I have almost 400 in rare candy alone. Over 150 legacy moveset pokemon. It just all depends on what you like to keep as collection pieces and what you value in the game.	0.388969637454	50	54	53	62	20	0.123664	0.1029	0.0620406	0.0520433	0.0483209
@USER Dont believe the hype.	0.351556319743	38	14	56	1	0	0.128626	0.0676843	0.0550034	0.0504669	0.0497758
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all new - MAGA.  Please follow back.	0.328874524683	24	21	33	50	53	0.0797928	0.0653796	0.0648779	0.0603474	0.0584768
#Protests Reported in #Sunderland  Except these are #football fan and one #flag says #WestBrom on it?!  Getting worse now even as I type?!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists (doomed to lose but do not realises it) #CivilWar soon? URL	0.53288577497	32	55	37	12	62	0.249041	0.16401	0.0501519	0.0356998	0.0339822
"\""@USER Liberals would still vote for him. They'll claim his comments were Taken out of context and that he is still a man of integrity.\""\""\""\""\"""	0.531753636897	24	16	47	53	33	0.223255	0.154731	0.08909	0.035194	0.0294836
@USER @USER We have been saved from you! MAGA!	0.318229179829	54	31	49	17	58	0.0862943	0.0710766	0.0597875	0.0515159	0.0495549
@USER You are bringing up honor and decency? With that yoyo in the picture? That's rich.	0.253653306514	0	12	50	25	41	0.0613884	0.0553318	0.0511839	0.047275	0.0384741
@USER Good riddance.	0.417647637427	30	38	33	40	0	0.174802	0.111152	0.0576201	0.0374171	0.0366563
@USER She is a goddess	0.52962853387	4	17	63	21	60	0.206532	0.112826	0.0889764	0.068456	0.0528382
"\""@USER Omg xD The worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing...\""\"" and the rest standin there like \""\""....nope he is no suffering\""\"" \""\""so he is dead!\""\"" \""\""...yeah, pretty dead\""\""\""\""\"""	0.275921737775	24	16	47	53	0	0.104742	0.0564411	0.0488547	0.0379511	0.027933
"\""@USER You can probably imagine all the SJW snowflakes that don't feel safe\""\"" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century.\""\""\"""	0.395606085658	16	41	12	22	24	0.123475	0.12265	0.0540051	0.0529547	0.0425217
@USER @USER I see May in the same light as yourself. Even the last election was about her and not the Conservatives.  A split is coming to the Tory partyvery soon!	0.290704295039	41	50	62	33	32	0.0799711	0.055815	0.0557544	0.053254	0.0459098
@USER This all I get 😢 damn these haters deleting you IG for no reason... URL	0.263091761619	19	1	51	37	32	0.0649435	0.0617524	0.0470364	0.045888	0.0434715
@USER Do you think Canadian liberals will actually blame Trudeau if he costs them this? Or as per standard push it off on us?	0.395172566175	50	22	54	32	53	0.102925	0.0958878	0.0753134	0.0627661	0.0582807
@USER    You warned everyone about Josh Gordon the last 4 months on a daily basis.  I'm sure you are as shocked as I am of what transpired today.	0.396759916097	50	54	33	53	62	0.163657	0.0843046	0.0696584	0.0429588	0.0361807
@USER @USER @USER Why can't liberals read??????  READ it AGAIN URL	0.299573861063	34	32	55	27	50	0.0897951	0.0691294	0.0629915	0.0406638	0.0369941
@USER SJSHSJ THATS MY JOB BITCH	0.296948410571	26	58	40	38	31	0.0917446	0.0681633	0.0540468	0.0455393	0.0374544
@USER Do they discuss Haiti?	0.442961256951	41	12	22	0	62	0.201019	0.0791854	0.0662632	0.0567461	0.0397473
@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat	0.294782288373	32	55	58	50	54	0.0825521	0.0758583	0.0479335	0.0454325	0.0430058
@USER He is very skilled😂😂	0.355710655451	33	50	40	54	31	0.119731	0.0766265	0.0685058	0.0476969	0.0431509
@USER You are amazing 💛💛💛	0.335520733148	59	61	60	8	24	0.0764246	0.0695023	0.0654923	0.0637824	0.0603192
@USER Fist pump was for the troops.	0.690159203485	58	57	33	38	50	0.427156	0.171309	0.0417217	0.0263639	0.0236093
"\""@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!\""\""\"""	0.378549654037	24	16	47	33	58	0.121431	0.10296	0.0685637	0.0457714	0.0398229
