id	tweet_ar	tweet_en	lbl
32	شخصية خيالية ممحونة: حقوق المماحين!<LF>إنسان حقيقي ممحون: يا ممحون يا حيوان تعال اقطع لك زبك حتى لو جحر فار تبغا تنيكو يا ممحوون قال نفسي اتمتع قال	A fictional character Mmahonh: Human Almmahin! <LF> real man Mmahon: O Mmahon O Come animal cut Zbk even if the terrier var O Mmahwon Tniko with tobacco, said myself, I possess said	OFF
33	RT @USER: اصعد يا صوت الشعب اصعد يا حبيب الشعب #اسقاط_القروض_لليوم_131	RT @USER: Come up, O voice of the people go up, O Habib people # Asagat_alkarod_lleom_131	NOT
34	@USER مش دي برضه اللي قالت يا صغنونة يا صغنونة بكرة نأبك يجي علي شونة 😂😂	Mesh @USER de Elly said, too? Oh, my Sgnonh Sgnonh reel Nobk Luigi Ali Barn 😂😂	NOT
35	@USER يا جدعان العلق دا لسه بيقولي هذاكر الاسئلة كفاية ، و راح فتح تويتر .. يا فاشل .. يا فاشل يا فاشل يا فاشل 😂😂😂	@USER O Jad'aan Leeches da Lessa Bicola Hmakr questions enough, and claimed to open a failed Twitter .. O .. O failed O failed O failed 😂😂😂	OFF
36	@USER اعلامي هلالي وش ترجي منه اي والله الى قال محمد العويس حراق🔥🔥🔥حارق قلبك يا زقان يا المطيًويع من حرق عساه للحرق يا رب جعلني اشوف فيك يوم اسود انت وعائلتك يا ابن الكلب	@USER media Hilala u any of it Espérance God said to Mohammed Al Owais Hrac🔥🔥🔥harq your heart, O Ozkan O Almtioaa burn to burn who is going, O Lord, you made me Shuf black day you and your family, son of the dog	OFF
37	يا مذهله مدري يا بنت النور<LF>غيبتك ما ملّت مكابرها؟<LF>طال السفر يا حبي المغرور<LF>وصلتي اشواقي .. لأخرها<LF>ترا الصبر والموعد المهجور<LF>يقتل هوى النفس ومشاعرها<LF>انتي قصيدة بكّت الجمهور<LF>وشلون اجل سوّت بشاعرها💛💛.	O amazing earners O girl light <LF> Geptk What bored Mcabrha? <LF> long travel, my love uppity <LF> and Salta Achoaki .. the last of which <LF> liters of patience and time Deserted <LF> kills Hui self and feelings <LF> Ante poem cried <audience LF> and Chlon for Sot Bashaaaraa💛💛.	NOT
38	@USER ما شاء الله تبارك الله عساك عالقوة يا بطل و للأفضل يا رب	@USER God wills, God bless you, will you Aalqoh champion and the best, O Lord,	NOT
39	هما بيعملوا ايه !! انت يا حيوان انت يا اطرررش انا بسقط هنااااا URL	A two Abiemiloa !! You are an animal, O thou, O Atrrrh I Bsagt Hnaaaaa URL	OFF
40	RT @USER: @USER انت والتيم بتاعك يا عبيد الفولورز يا سفله<LF>#اهلي_كمل_الصداره	RT @USER: @USER You and Tim O servants of yours Alfolorz O Sfielh <LF> # Ahla_kml_alsaddarh	OFF
41	@USER @USER @USER @USER @USER يا لبناني يا فضلات الاستعمار الفرنسي اللبنانيين بالخليج يشغلون نسوانهم عاهرات	@USER @USER @USER @USER @USER O Lebanese O waste French colonization in the Gulf occupy Lebanese Nswanhm whores	OFF
42	RT @USER: كل حركة ، كل همسة ، كل فكرة، كل نية ، كل كلمة ، كل لحظة حتتسجل ف كتاب و محسوبة يا علينا يا لنا .. لازم نستوعب انه ورانا الكثي…	RT @USER: every movement, every whisper, every idea, every intention, every word, every moment Antsgel in the book and we calculated O O .. we understand that it is necessary and Alkta ... Rana	NOT
43	يا كبر الفقد و يا قلة الحيلة 💔	O size O loss and lack of resourcefulness 💔	NOT
44	@USER يا افنان يا نفسيه عيب عليك	@USER O Afnan O psychic shame on you	NOT
45	RT @USER: اشرس مشكل بتاريخ لبنان على الجديد😂😂😂😂😂😂😂😂😂لك شو هالاسمو لك روح يا يا يا يا روح يا 😂😂 #لهون_وبس	RT @USER: on the problem of the fiercest Lebanon Aljdid😂😂😂😂😂😂😂😂😂lk Shu Halasmo you the spirit of O O O O O Spirit of 😂😂 # of Hon_obs	NOT
46	ف يا ربي يا رحمن تجمع شملنا <LF>قبل الممات ولو بيوم واحدِ	<LF P, O Lord, O Rahman gathered reunion> before death, even one day	NOT
47	أمي <LF>أحبك يا حبة الرمان يا السما الزرقاء الصافية يا أجمل ما في الوجود يا من حضنها أمن وأمان واطمئنان لا حرمني الله منك أبدا يا سبب سعادتي وعافيتي وبهجتي لولاك ما كان لحياتي معنى أحبك وأتمنى رضاك عني	Mom <LF> I love you a grain of pomegranate Ya Sama Blue Net O most beautiful in the presence of my lap security and safety and contentment God never robbed me of you, my reason for my happiness and my health and my joy to Wolak what was the meaning of my life, I love you and I wish satisfied Me	NOT
48	المفروض يكون الشوق عادل يا يمر القلبين يا انو ولا واحد .	Should be longing just pass you, O hearts Anu no one.	NOT
49	@USER وإياكِ يا رب ويسعدك يا داليا ❤❤	@USER and you, O Lord, and please you, O Dalia ❤❤	NOT
50	تذاكر يا هانم ..... تذاكر يا بيه _ بالكلمات _ باداء خيالي ل عبير الشاذلي URL via @USER	O tickets Hanim ..... tickets O Bay _ words _ perform fantastically for Abeer Chadli URL via @USER	NOT
51	@USER يا قدس، يا مدينة الأحزان <LF>يا دمعةً كبيرةً تجول في الأجفان <LF>من يوقف العدوان؟ <LF>عليك، يا لؤلؤة الأديان <LF>من يغسل الدماء عن حجارة الجدران؟ <LF>من ينقذ الإنجيل؟ <LF>من ينقذ القرآن؟	@USER O Jerusalem, O city of sorrows <LF> big tear wandering eyelids <LF> Who will stop the aggression? <LF> you, the pearl of religions <LF> to wash blood from the stone walls? <LF> to save the Gospel? <LF> Who will save the Koran?	NOT
52	ايش الاكل الحلو ذا ياسُميه تسلم يدك ياعسل ياقشطه ياحلوه ياسُكره يا طباخه يا فنانه يا كل شي💛.	Ashe sweet eating The Aasmih received your hand Aaasl Yakhth Aahloh Aasl O, O cook artist, all you Ha💛.	NOT
53	#ERROR!	#ERROR!	NOT
54	يا أم العيون الخجْلا يا نبض <LF>صدر نجد العذّيه 🌿..	O Mother of the eyes Kgela O pulse <LF> released, we find Alave 🌿 ..	NOT
55	@USER فين يا ابن القحبه يا معرص السودان مش هيعملوا اَي شي من مخططكم هاهاهاهاها و لسه يا خونه	@USER Finn, son of whores O Crew Sudan Mesh Haamiloa anything from your plan Hahahahaha and Lessa O traitor	OFF
56	حقيقي ✋️ <LF>حلو انك ميجيش فيك اجوان عشان متخسرش !ده بديهي يعني <LF>بس حرفياً الزمالك بيطلع دين امي قدام و مش حلو نفضل ماشين بمبدأ يا نكسب يا نتعادل المهم منخسرش ..	Real ✋️ <LF> sweet you Majeic you Ajwan Ashan Mtkhosrh! De intuitive means <LF> literally Zamalek Bs Bitla religion my mother before and prefer sweet Mesh Machin principle ya ya win Ntadl important Mnkhosrh ..	OFF
57	RT @USER: إلحقهم يا مهدي ، إلحقهم يا مهدي ، إلحقهم يا مهدي ، إلحقهم يا مهدي ، إلحقهم يا مهدي ، إلحقهم يا مهدي ، إلحقهم يا مهدي 😁😁🐒…	RT @USER: Alhakhm O Mahdi, Mahdi Alhakhm O, O Alhakhm Mahdi, Mahdi Alhakhm O, O Alhakhm Mahdi, Mahdi Alhakhm O, O Alhakhm Mehdi 😁😁🐒 ...	NOT
58	RT @USER: لازم تراعو مشاعر الناس اللى بمليون مود فـ الدقيقه اللى يا بتتكلم كتير يا بتسكت خالص اللى ممكن يومهم يتقفل بكلمه اللى اقل حاج…	RT @USER: needed Traao people's feelings Elly million Maud P minute Elly O my sincere you speaking very much Skt Elly possible day Atagafl word Elly less pilgrims ...	NOT
59	RT @USER: انا هالفتره يا نايمه يا فيني نوم يا بنام ..	RT @USER: I Halfterh O Naamh O Vinnie sleep O .. Panama	NOT
60	@USER @USER اه كدب وتزوير، لان الحكم جه علينا وعليكوا، احسب كورة اغادير واحسب كورة ابراهيم حسن هنتاهل ب 2/1<LF>اطرد علاء واطرد قصاده اللاعب رقم5<LF>مش حراق برضه يا نمس انت يا نمس مال الحكم والمخرج بقى بتاهل الزمالك المستحق او الغير مستحق	@USER @USER Uh CDDB forging, because the referee JH We Alicua, Calc football Aghadir Calc Orhan Ibrahim Hassan Hntahl b 2/1 <LF> Cast out Alaa and cast out Qsadh Player No. 5 <LF> Mesh burner too? Oh Nemes you, Nemes money judgment and director remained Zamalek qualifying due or others due	NOT
61	RT @USER: بطلو انانيه يا شعب يا انصرافي ويلا على صفوف عيشكم وبنزينكم	RT @USER: Btalo O people of my selfish Ansrave and night rows and your quality of life Benzinkm	OFF
62	صباح الخير يا مصحصح يا عسل يا ورد متفتح<LF>انا أبى نهاري خير قلت برقمك اتصبح<LF>#صباح_الاثنين	Good morning, Msahsah honey, O Lord open <LF> I refused diurnal best I said your number does not become <LF> # Bbah_alatnin	NOT
63	كملنا سنتين مع بعض يا اجمل اقداري يا اجمل ماحصل بدنياي ياحاجة ضوت سنين عمري سنتين وانا عايشه بالهنا كملنا سنتين بحلوها💙.	Kammelna two years with some of my most beautiful Akdara O most beautiful what happened Bdnaaa years I Aahajh Dot two years, and I Aisha felicitously Kammelna two years Bhloha💙.	NOT
64	@USER الله عليكي الله يا بنت مصر يا مقاتله يا شريفه	@USER God Aliki God, O Egypt, O girl fighter, my Sherifa	NOT
65	RT @USER: ورجعت الصداره لزعيمها <LF>يا رب تمم يا رب تمم يا رب تمم	RT @USER: and returned to the forefront of its leader <LF> O Lord, thy O Lord, O Lord, thy fulfilled	NOT
66	يا اجمل الأيام يا يوم الخميس<LF>يا اروع واجمل يوم بعيون الملا<LF>يا درة ألاسبوع ياليوم النفيس<LF>الكل بقدوم يرحب/يا هلا<LF>#هلا بالخميس URL	Oh, my most beautiful days on Thursday, <LF> O grandest and most beautiful on the eyes of Mullah <LF> O Dora the week Aaleom precious <LF> All welcomes the arrival / Ya Hala <LF> # Hala Balkhamis URL	NOT
67	@USER عليك لعنه الله يا فتنه الفتنه اشد من القتل انت محرض من النوع الاخوانجي سلمان الحزم سلمان الانسانيه سلمان من دمر كم يا اخوانجي يا شيعي يا ابن موزه عاش سلمان الحزم عاش عاش ملك العرب URL	@USER you curse God, Fitna sedition tougher than killing inducible type packages Alakhuanga Salman Salman Salman of humanity destroyed km O Akhuanga O Shia, O son of Salman Moza lived packages lived Arab king lived URL	OFF
68	يا وصفة الحب يا دكتوري و طبي💘	O love, O recipe Canutoa and Taba💘	NOT
69	RT @USER: 🌹<LF>🌸 يا أمينَ اللهِ يا شمسَ الهُدى <LF> يا إمامَ الخَلْقِ يا بحرَ الندى 🌸<LF>🌸 عجِّلَنْ عَجِّلْ.. فقد طال المَدى <LF> وآضْمَحَلَّ…	RT @USER: 🌹 <LF> 🌸 O God, O Secretary Shamsul Huda <LF> O Imam of creation, O sea dew 🌸 <LF> 🌸 Jln Hurry .. it has long-term <LF> ... and decayed	NOT
70	ياما قالو الهوا غلاب .. ولا مرة حسبنا حساب .. نبعد يا هوى يا هوى يا هوى 🖤	Yama Alou Hawa Gulab .. not once is enough account .. Ya Hui Ya banish Ya Hui Hui 🖤	NOT
71	يا مَنِ اسْمُهُ دَواءٌ وَذِكْرُهُ شِفاءٌ وَطاعَتُهُ غِنىً، اِرْحَمْ مَنْ رَأْسُ مالِهِ الرَّجاءُ وَسِلاحُهُ الْبُكاءُ، يا سابِـغَ النِّعَمِ، يا دافِعَ النِّقَمِ، يا نُورَ الْمُسْتَوْحِشينَ فِي الظُّلَمِ، يا عالِماً لا يُعَلَّمُ، صَلِّ عَلى مُحَمَّد وَآلِ مُحَمَّد <LF>صباح الخير	Oh medicine of his name was mentioned by healing and obedience riches, have mercy of his capital and his weapon please cry, O graces concealing, O curses defended, O light Almistohacan in injustice, my world does not know, bless Muhammad and <LF> Good morning	NOT
72	@USER @USER يا بعد هالدنيا يا مجيد ❤️❤️	@USER @USER O after Haldnia O glorious ❤️❤️	NOT
73	صبحت بالخير يا رمش أتذرى به يا قلب أحبه ولا لي عن طريقة مفرررر	Oh well Subht eyelash Otdhiry him I love him, my heart is not a way for me Mfirrrr	NOT
74	RT @USER: يا اَبَا الْحَسَنِ يا عَلِيَّ بْنَ الْحُسَيْنِ ، يا زَيْنَ الْعابِدينَ يَا بْنَ رَسُولِ اللهِ يا حُجَّةَ اللهِ عَلى خَلْقِهِ…	RT @USER: Abba Hassan, Ali Bin Al Hussein, Zine El Abidine O, O son of the Messenger of Allah, O argument God created ...	NOT
75	@USER @USER أولا يا إبن الشرموطة السعودية , ليش تتكلم مصري , يمكن أمك ناكها حارس العمارة المصري جنبكم مسكينة مبس داعس على وجوهكم يا كلاب يا بدو يا معفنين تبي فلوس على تأكلكم من عرق طيزها ههههههه, والله لأجيك يا إبن الشرموطة البدوية لأنيكك و إحشي كس	@USER @USER first O son of a bitch Saudi Arabia, Why speak Egyptian, can be your mother Nakea guard architecture Egyptian Jnbugm Poor MBS Daas on your faces, my dogs, my Bedouin O Mafnin Etbi money on Toklkm sweat Tisaha Hehehehe, and God Ajik O son of a bitch Bedouin of Onakk and Ahaca pussy	OFF
76	@USER يا بجم يا عجم يا نجم كلنا فالهوا سوا	@USER O Bjm O Ajam O star of all of us Valhoa Sawa	OFF
77	RT @USER: ربي يا قابض يا باسط يا معطي ارزقني رزقاً واسعاً عاجلاً غير آجل وهب لي من لدنك ملكاً ورزقاً تذهل به الأعين وتفرح له الأنفس وتذك…	RT @USER: O Lord, O CLUTCH tenter O Giver grant me a baby range sooner rather than later gave me from Thy king and they had eyes, amazed by his selves and rejoice ... remind	NOT
78	صاحباتي و أقاربي اللي من نفس عمري و عايشين و مستقرين برا \"المنكوبة \" عايشين حياتهم و ينك يا سفر يا سياحة يا تجارب يا تعليم يا لغات ،عايشين عمرهم بجد و بكل تجاربه حب/حزن/خسارة ! الا انا! نقعد نحسب امتي بتصير حرب تانية ؟ من بيخش علي من و من بيطهر و يحرر من ؟ قعدت في نفس الدوامة !!	My companions and my relatives who of the same age and Aychen and settled by land \ "affected \" Aychen lives and Travel Link O O O tourism experiences, my education, my language, age Aychen diligently and with all his experiences love / sadness / loss! except me! I calculate my people sit Ptasir Tanih war? Of Bejh Ali and from Bithr and free from? I stayed in the same whirlpool !!	NOT
79	@USER ده إحنا حاجه فظيعه يا شيخه يا ساتر علينا 🤣🤣🤣	@USER de Haga we are awful O Sheikha O Sater we 🤣🤣🤣	NOT
80	يا مبتدأ يا منتهى .. يا آخري يا أولّي💙	O tyro O ultimate .. Oh, my other Oola💙	NOT
81	RT @USER: فز يا خفاق و أهدأ يا شعور<LF>واحتفظ في كل وقتك بالوقار<LF>**<LF> لو يفوح العود الأزرق بالبخور<LF>ولو يذكرك المسا شوق النهار<LF>**<LF>فيك لا ي…	RT @USER: Win my clapper and quieter Oh <feeling LF> and keep all your time in reverence <LF> ** <LF> if reeking Blue Oud incense <LF> If the day reminds you of longing Almsa <LF> ** <LF> you do not j ...	NOT
82	@USER @USER @USER اليورباليغ بياخذه يا ارسنال يا تشيلسي خذها مني وتاهلنا للرابع مابيكون له فايده	@USER @USER @USER Aliorbaleg Beachzh O Arsenal O Chelsea take it from me and we qualified for the fourth Mabikon him Usefulness	NOT
83	يعني ما افهم حقيقي تضاربوا يعني خلاص حنكون زيهم؟ حفلهم كان بقاعه والاهالي كلهم موجودين واحنا بمدرسه وبس شخص واحد يا ام يا اخت تجي معك واحس يارب انك تلعنها اذا حتى على الاشياء الحلوه تنكد علينا فيها الجزمه	I mean, what I understand real Tdharbwa means the salvation of Hnkon their uniforms? Hvlhm was the Bekaa and all of them are locals and Ehna school ups one person, my mother, my sister and I feel with you TGI Lord, you Talnha even if the sweet stuff Tnkd where we jackboot	OFF
84	RT @USER: انفروا يا رجال الله يا كل واثق<LF>ندحر العاصفه يا عز قوم اصيله<LF>في زمان الكرامه بل و كشف الحقايق<LF>با نخوض المعارك…	RT @USER: go forth, O men of God, all you confident <LF> O Ezz Ndhr storm folk An authentic <LF> at the time of dignity and even revealed Alhakaig <LF> Ba fighting the battles ...	NOT
85	يا ترى مخبيلنا ايه يا چون سنو انت و الكلبوبة اللي جنبك دي	Ya see Mkhbaylna Er Ya چon Snow You and Alkalpobh who Ganbak de	OFF
86	@USER شكلك فرحان يا عبدالرحمن يا اخي انت يهودي و لا ايش ملتك مستحيل تكون مسلم	@USER Shklk Farhan Abdul Rahman O my brother, you are a Jew, and not Ashe Mmeltk is impossible to be a Muslim	OFF
87	@USER @USER بلوك يا برنس يا خويا ومالوا مش عيب 😀	Block @USER @USER O Prince, my brother and Malwa Mesh defect 😀	NOT
88	@USER @USER @USER @USER @USER @USER @USER @USER واحد يسأل لبنانية ايش اسمك. قالت (يارا ياسين ) <LF>وانته شو اسمك <LF>قال. يا حاء. يا جيم<LF>😂😂😂😂😂😂😂😂<LF>🏃🏃🏃🏃🏃🏃🏃🏃<LF>من الامراض التي ليس لها علا	@USER @USER @USER @USER @USER @USER @USER @USER one asks Lebanese Laish your name. Said (Yara Yasin) <LF> and Expire Shaw Your name <LF> he said. O H. O C <LF> 😂😂😂😂😂😂😂😂 <LF> 🏃🏃🏃🏃🏃🏃🏃🏃 <LF> from diseases that do not have Ola	NOT
89	@USER يا اوباما يا جبان يا عميل الامريكان 😂	@USER Hey Obama, you coward, my client Americans 😂	OFF
90	RT @USER: يا ساتر يا ساتر يا ساتر URL	RT @USER: Ya Sater Ya Sater Ya Sater URL	NOT
91	يا تكون قد الحياة يا تعييش وحيد وسط الدروب❤💔 @USER	Oh, my life has Tayish a single central Aldrob❤💔 @USER	NOT
92	@USER اهل اول .. يا فل يا كادي يا كمل	@USER folks first .. O Phil O Cady O Kammel	NOT
93	بقيلك قلقانه وانت تفوت تنام .. يا سلام على حبك يا سلام	Bqilk Qlkana you miss sleep .. oh peace to love you, my peace	NOT
94	يا علاج الروح يا غاية فوادي🖤.	O my soul treat very Voada🖤.	NOT
95	RT @USER: @USER هل مازال يوجد مدنيون بعد قتلكم لهم وتدمير بيوتهم يا قتلة يا عملاء يا مأجورين يا عبيد الامارات ومصر والس…	RT @USER: @USER Are you still there after civilians to kill them and destroy their homes, O killers, O my clients hired, servants of the United Arab Emirates, Egypt, Wallis ...	OFF
96	يا صباح الخير يا صباح الحب يا صباح الربيع<LF>💛😎<LF>#عيش_الآن URL	Oh good morning love morning spring morning <LF> 💛😎 <LF> # Aah_alan URL	NOT
97	أوّاه يا ضحكتك .. وأوّاه يا ظني<LF>كم مرةٍ قلت ما أحبه وأنا أحبه	O .. Dehketak equality and equality Oh I think <LF> How many times I said what I love and I love him	NOT
98	اسحب مارسيال وعطنا لوكاكو يا سولشاير يا بزر يا زق	Drag Marcial and Attna to Okako O Solshaar O right O wineskin	OFF
99	RT @USER: صباح الخير يا مصر. صباح الخير يا أم الدنيا URL	RT @USER: Good Morning Egypt. Good morning, mother of the world URL	NOT
100	@USER يا هند يا قمر وانتي طيبة يا حياتي 💖💖<LF>وانا كمان والله مبسوطة اني عرفتك جدا	@USER Ya Ya Amar India and Ante good my life 💖💖 <LF> I fiddle God I am very joyous knew	NOT
101	@USER ربنا معانا كلنا <LF>ويهديكي ويصلح حالك يا سوما يا بنت ام سوما ⁦😂	@USER Lord shine all of us <LF> and Ahdekke fit are you, O Soma girl or Soma 😂	NOT
102	RT @USER: احلى فاصل يا فيصل واحلى سلطنه يا سلطان💔💔💔<LF>#الشباب URL	RT @USER: Break Ya sweeter Faisal sweeter Oh Sultanate Sultan💔💔💔 <LF> # Young URL	NOT
